skill,period,forecast_demand
Linux,2026-01-01,308.1168291836759
Linux,2026-02-01,308.1168291836759
Linux,2026-03-01,308.1168291836759
Linux,2026-04-01,308.1168291836759
Linux,2026-05-01,308.1168291836759
Linux,2026-06-01,308.1168291836759
Linux,2026-07-01,308.1168291836759
Linux,2026-08-01,308.1168291836759
Linux,2026-09-01,308.1168291836759
Linux,2026-10-01,308.1168291836759
Git,2025-05-01,303.1380667971606
Git,2025-06-01,301.0940317998497
Git,2025-07-01,299.1159334153552
Git,2025-08-01,297.07189841804427
Git,2025-09-01,295.02786342073324
Git,2025-10-01,293.0497650362388
Git,2025-11-01,291.0057300389278
Git,2025-12-01,289.0276316544333
Git,2026-01-01,286.9835966571224
Git,2026-02-01,284.9395616598114
Git,2026-03-01,283.09333650094993
Git,2026-04-01,281.04930150363896
Git,2026-05-01,279.07120311914446
Git,2026-06-01,277.0271681218335
Git,2026-07-01,275.049069737339
Git,2026-08-01,273.00503474002807
Git,2026-09-01,270.9609997427171
Git,2026-10-01,268.98290135822265
Java,2025-05-01,307.8507095832204
Java,2025-06-01,306.47756856569805
Java,2025-07-01,305.14872241970863
Java,2025-08-01,303.7755814021862
Java,2025-09-01,302.4024403846639
Java,2025-10-01,301.07359423867445
Java,2025-11-01,299.7004532211521
Java,2025-12-01,298.3716070751627
Java,2026-01-01,296.9984660576403
Java,2026-02-01,295.62532504011796
Java,2026-03-01,294.3850686371945
Java,2026-04-01,293.0119276196721
Java,2026-05-01,291.6830814736827
Java,2026-06-01,290.30994045616035
Java,2026-07-01,288.9810943101709
Java,2026-08-01,287.6079532926485
Java,2026-09-01,286.23481227512616
Java,2026-10-01,284.90596612913674
GCP,2025-05-01,287.244750647783
GCP,2025-06-01,298.95991523450294
GCP,2025-07-01,277.9450951065404
GCP,2025-08-01,299.5175349843196
GCP,2025-09-01,285.6379842673167
GCP,2025-10-01,287.1643928560188
GCP,2025-11-01,297.57745115279494
GCP,2025-12-01,280.1467855597186
GCP,2026-01-01,297.40002536122597
GCP,2026-02-01,286.87263990805457
GCP,2026-03-01,287.2111644895622
GCP,2026-04-01,296.370182953249
GCP,2026-05-01,281.9619286954163
GCP,2026-06-01,295.7163700504352
GCP,2026-07-01,287.79496944162025
GCP,2026-08-01,287.3397144350471
GCP,2026-09-01,295.32423429685576
GCP,2026-10-01,283.45358296797167
Hadoop,2025-05-01,283.0
Hadoop,2025-06-01,283.0
Hadoop,2025-07-01,283.0
Hadoop,2025-08-01,283.0
Hadoop,2025-09-01,283.0
Hadoop,2025-10-01,283.0
Hadoop,2025-11-01,283.0
Hadoop,2025-12-01,283.0
Hadoop,2026-01-01,283.0
Hadoop,2026-02-01,283.0
Hadoop,2026-03-01,283.0
Hadoop,2026-04-01,283.0
Hadoop,2026-05-01,283.0
Hadoop,2026-06-01,283.0
Hadoop,2026-07-01,283.0
Hadoop,2026-08-01,283.0
Hadoop,2026-09-01,283.0
Hadoop,2026-10-01,283.0
R,2025-05-01,301.0799052747549
R,2025-06-01,302.28330537796745
R,2025-07-01,303.44788612301187
R,2025-08-01,304.65128622622444
R,2025-09-01,305.854686329437
R,2025-10-01,307.01926707448143
R,2025-11-01,308.222667177694
R,2025-12-01,309.3872479227384
R,2026-01-01,310.590648025951
R,2026-02-01,311.7940481291636
R,2026-03-01,312.88099015787174
R,2026-04-01,314.0843902610843
R,2026-05-01,315.2489710061287
R,2026-06-01,316.4523711093413
R,2026-07-01,317.6169518543857
R,2026-08-01,318.82035195759835
R,2026-09-01,320.0237520608109
R,2026-10-01,321.18833280585534
Tableau,2025-05-01,279.7108376769447
Tableau,2025-06-01,278.36839360651373
Tableau,2025-07-01,277.0692541835159
Tableau,2025-08-01,275.72681011308487
Tableau,2025-09-01,274.3843660426538
Tableau,2025-10-01,273.08522661965605
Tableau,2025-11-01,271.742782549225
Tableau,2025-12-01,270.44364312622724
Tableau,2026-01-01,269.1011990557962
Tableau,2026-02-01,267.7587549853651
Tableau,2026-03-01,266.5462248572339
Tableau,2026-04-01,265.20378078680284
Tableau,2026-05-01,263.904641363805
Tableau,2026-06-01,262.562197293374
Tableau,2026-07-01,261.2630578703762
Tableau,2026-08-01,259.92061379994516
Tableau,2026-09-01,258.5781697295141
Tableau,2026-10-01,257.27903030651635
Computer Vision,2025-05-01,271.11703695898814
Computer Vision,2025-06-01,257.9721726150118
Computer Vision,2025-07-01,257.9721726150118
Computer Vision,2025-08-01,257.9721726150118
Computer Vision,2025-09-01,257.9721726150118
Computer Vision,2025-10-01,257.9721726150118
Computer Vision,2025-11-01,257.9721726150118
Computer Vision,2025-12-01,257.9721726150118
Computer Vision,2026-01-01,257.9721726150118
Computer Vision,2026-02-01,257.9721726150118
Computer Vision,2026-03-01,257.9721726150118
Computer Vision,2026-04-01,257.9721726150118
Computer Vision,2026-05-01,257.9721726150118
Computer Vision,2026-06-01,257.9721726150118
Computer Vision,2026-07-01,257.9721726150118
Computer Vision,2026-08-01,257.9721726150118
Computer Vision,2026-09-01,257.9721726150118
Computer Vision,2026-10-01,257.9721726150118
Data Visualization,2025-05-01,278.716570540531
Data Visualization,2025-06-01,278.06347734813767
Data Visualization,2025-07-01,277.4314516780796
Data Visualization,2025-08-01,276.7783584856863
Data Visualization,2025-09-01,276.125265293293
Data Visualization,2025-10-01,275.49323962323496
Data Visualization,2025-11-01,274.8401464308416
Data Visualization,2025-12-01,274.2081207607836
Data Visualization,2026-01-01,273.55502756839024
Data Visualization,2026-02-01,272.9019343759969
Data Visualization,2026-03-01,272.31204375060946
Data Visualization,2026-04-01,271.65895055821613
Data Visualization,2026-05-01,271.0269248881581
Data Visualization,2026-06-01,270.37383169576475
Data Visualization,2026-07-01,269.7418060257067
Data Visualization,2026-08-01,269.08871283331337
Data Visualization,2026-09-01,268.4356196409201
Data Visualization,2026-10-01,267.803593970862
Spark,2025-05-01,261.0
Spark,2025-06-01,261.0
Spark,2025-07-01,261.0
Spark,2025-08-01,261.0
Spark,2025-09-01,261.0
Spark,2025-10-01,261.0
Spark,2025-11-01,261.0
Spark,2025-12-01,261.0
Spark,2026-01-01,261.0
Spark,2026-02-01,261.0
Spark,2026-03-01,261.0
Spark,2026-04-01,261.0
Spark,2026-05-01,261.0
Spark,2026-06-01,261.0
Spark,2026-07-01,261.0
Spark,2026-08-01,261.0
Spark,2026-09-01,261.0
Spark,2026-10-01,261.0
MLOps,2025-05-01,262.6102692018166
MLOps,2025-06-01,261.8018635141935
MLOps,2025-07-01,261.01953542939697
MLOps,2025-08-01,260.2111297417739
MLOps,2025-09-01,259.40272405415084
MLOps,2025-10-01,258.6203959693543
MLOps,2025-11-01,257.81199028173125
MLOps,2025-12-01,257.0296621969347
MLOps,2026-01-01,256.2212565093116
MLOps,2026-02-01,255.41285082168855
MLOps,2026-03-01,254.6826779425451
MLOps,2026-04-01,253.87427225492203
MLOps,2026-05-01,253.0919441701255
MLOps,2026-06-01,252.28353848250242
MLOps,2026-07-01,251.50121039770588
MLOps,2026-08-01,250.6928047100828
MLOps,2026-09-01,249.88439902245972
MLOps,2026-10-01,249.10207093766323
Azure,2025-05-01,264.0964081616515
Azure,2025-06-01,263.6411934006235
Azure,2025-07-01,263.2006629867255
Azure,2025-08-01,262.74544822569754
Azure,2025-09-01,262.29023346466954
Azure,2025-10-01,261.84970305077155
Azure,2025-11-01,261.39448828974355
Azure,2025-12-01,260.95395787584556
Azure,2026-01-01,260.4987431148176
Azure,2026-02-01,260.0435283537896
Azure,2026-03-01,259.6323666341515
Azure,2026-04-01,259.1771518731235
Azure,2026-05-01,258.7366214592255
Azure,2026-06-01,258.28140669819754
Azure,2026-07-01,257.8408762842995
Azure,2026-08-01,257.38566152327155
Azure,2026-09-01,256.9304467622436
Azure,2026-10-01,256.4899163483455
Deep Learning,2025-05-01,258.18060296916417
Deep Learning,2025-06-01,257.2851241084856
Deep Learning,2025-07-01,256.41853166266765
Deep Learning,2025-08-01,255.52305280198908
Deep Learning,2025-09-01,254.6275739413105
Deep Learning,2025-10-01,253.7609814954925
Deep Learning,2025-11-01,252.86550263481394
Deep Learning,2025-12-01,251.99891018899592
Deep Learning,2026-01-01,251.10343132831738
Deep Learning,2026-02-01,250.20795246763882
Deep Learning,2026-03-01,249.39913285154202
Deep Learning,2026-04-01,248.50365399086343
Deep Learning,2026-05-01,247.63706154504544
Deep Learning,2026-06-01,246.7415826843669
Deep Learning,2026-07-01,245.87499023854892
Deep Learning,2026-08-01,244.97951137787032
Deep Learning,2026-09-01,244.08403251719173
Deep Learning,2026-10-01,243.21744007137374
NLP,2025-05-01,283.83360278214667
NLP,2025-06-01,274.48001078996174
NLP,2025-07-01,259.6848116426838
NLP,2025-08-01,261.56158001538654
NLP,2025-09-01,270.208435185476
NLP,2025-10-01,271.10731624579876
NLP,2025-11-01,266.5020599808857
NLP,2025-12-01,264.9678993294884
NLP,2026-01-01,267.1835582474806
NLP,2026-02-01,268.53414665410077
NLP,2026-03-01,267.60573486402535
NLP,2026-04-01,266.64634395553173
NLP,2026-05-01,266.94698990340714
NLP,2026-06-01,267.54788821313707
NLP,2026-07-01,267.51571994076676
NLP,2026-08-01,267.17442877561956
NLP,2026-09-01,267.1156516308583
NLP,2026-10-01,267.2921877090358
AWS,2025-05-01,263.61874573743756
AWS,2025-06-01,264.3220368540968
AWS,2025-07-01,265.00264116054115
AWS,2025-08-01,265.70593227720036
AWS,2025-09-01,266.4092233938595
AWS,2025-10-01,267.08982770030394
AWS,2025-11-01,267.7931188169631
AWS,2025-12-01,268.4737231234075
AWS,2026-01-01,269.1770142400667
AWS,2026-02-01,269.8803053567259
AWS,2026-03-01,270.5155360427406
AWS,2026-04-01,271.21882715939984
AWS,2026-05-01,271.8994314658442
AWS,2026-06-01,272.6027225825035
AWS,2026-07-01,273.2833268889478
AWS,2026-08-01,273.986618005607
AWS,2026-09-01,274.6899091222662
AWS,2026-10-01,275.37051342871064
Mathematics,2025-05-01,243.61956477352544
Mathematics,2025-06-01,243.76209204811474
Mathematics,2025-07-01,243.900021668685
Mathematics,2025-08-01,244.04254894327428
Mathematics,2025-09-01,244.18507621786358
Mathematics,2025-10-01,244.32300583843386
Mathematics,2025-11-01,244.46553311302316
Mathematics,2025-12-01,244.60346273359343
Mathematics,2026-01-01,244.74599000818273
Mathematics,2026-02-01,244.888517282772
Mathematics,2026-03-01,245.01725159530426
Mathematics,2026-04-01,245.15977886989356
Mathematics,2026-05-01,245.29770849046383
Mathematics,2026-06-01,245.44023576505313
Mathematics,2026-07-01,245.5781653856234
Mathematics,2026-08-01,245.7206926602127
Mathematics,2026-09-01,245.86321993480198
Mathematics,2026-10-01,246.00114955537225
Docker,2025-05-01,220.40786027083723
Docker,2025-06-01,218.58459623616784
Docker,2025-07-01,216.82014717035875
Docker,2025-08-01,214.99688313568933
Docker,2025-09-01,213.1736191010199
Docker,2025-10-01,211.40917003521082
Docker,2025-11-01,209.58590600054143
Docker,2025-12-01,207.8214569347323
Docker,2026-01-01,205.99819290006292
Docker,2026-02-01,204.17492886539353
Docker,2026-03-01,202.52810973730502
Docker,2026-04-01,200.7048457026356
Docker,2026-05-01,198.94039663682653
Docker,2026-06-01,197.1171326021571
Docker,2026-07-01,195.352683536348
Docker,2026-08-01,193.5294195016786
Docker,2026-09-01,191.7061554670092
Docker,2026-10-01,189.9417064012001
Statistics,2025-05-01,216.84739964481193
Statistics,2025-06-01,217.35180766660469
Statistics,2025-07-01,217.35180766660469
Statistics,2025-08-01,217.35180766660469
Statistics,2025-09-01,217.35180766660469
Statistics,2025-10-01,217.35180766660469
Statistics,2025-11-01,217.35180766660469
Statistics,2025-12-01,217.35180766660469
Statistics,2026-01-01,217.35180766660469
Statistics,2026-02-01,217.35180766660469
Statistics,2026-03-01,217.35180766660469
Statistics,2026-04-01,217.35180766660469
Statistics,2026-05-01,217.35180766660469
Statistics,2026-06-01,217.35180766660469
Statistics,2026-07-01,217.35180766660469
Statistics,2026-08-01,217.35180766660469
Statistics,2026-09-01,217.35180766660469
Statistics,2026-10-01,217.35180766660469
